iter	Passed	Remaining
690	3764	1683
691	3767	1676
692	3771	1670
693	3785	1669
694	3788	1662
695	3790	1655
696	3792	1648
697	3795	1642
698	3818	1644
699	3820	1637
700	3823	1630
701	3833	1627
702	3849	1626
703	3852	1619
704	3854	1612
705	3856	1606
706	3859	1599
707	3862	1592
708	3865	1586
709	3867	1579
710	3870	1573
711	3872	1566
712	3874	1559
713	3879	1553
714	3894	1552
715	3897	1545
716	3900	1539
717	3908	1535
718	3913	1529
719	3916	1523
720	3919	1516
721	3969	1528
722	4001	1532
723	4004	1526
724	4007	1520
725	4010	1513
726	4013	1507
727	4030	1505
728	4033	1499
729	4036	1493
730	4039	1486
731	4044	1480
732	4051	1475
733	4075	1477
734	4078	1470
735	4081	1464
736	4083	1457
737	4087	1450
738	4090	1444
739	4096	1439
740	4098	1432
741	4122	1433
742	4136	1430
743	4151	1428
744	4153	1421
745	4156	1415
746	4158	1408
747	4161	1401
748	4163	1395
749	4166	1388
750	4168	1382
751	4171	1375
752	4174	1369
753	4176	1362
754	4178	1355
755	4181	1349
756	4197	1347
757	4199	1340
758	4202	1334
759	4204	1327
760	4207	1321
761	4212	1315
762	4215	1309
763	4217	1302
764	4219	1296
765	4222	1290
766	4225	1283
767	4228	1277
768	4230	1270
769	4233	1264
770	4236	1258
771	4240	1252
772	4243	1246
773	4246	1240
774	4249	1233
775	4252	1227
776	4254	1221
777	4257	1214
778	4261	1208
779	4264	1202
780	4275	1198
781	4278	1192
782	4283	1187
783	4302	1185
784	4304	1178
785	4308	1172
786	4310	1166
787	4312	1160
788	4315	1154
789	4318	1147
790	4323	1142
791	4325	1136
792	4328	1129
793	4330	1123
794	4333	1117
795	4336	1111
796	4338	1105
797	4341	1098
798	4343	1092
799	4348	1087
800	4375	1087
801	4380	1081
802	4383	1075
803	4386	1069
804	4389	1063
805	4392	1057
806	4405	1053
807	4422	1050
808	4428	1045
809	4432	1039
810	4436	1033
811	4441	1028
812	4444	1022
813	4467	1020
814	4484	1017
815	4489	1012
816	4492	1006
817	4497	1000
818	4501	994
819	4504	988
820	4526	986
821	4529	980
822	4531	974
823	4542	970
824	4544	964
825	4547	957
826	4549	951
827	4552	945
828	4556	939
829	4571	936
830	4588	933
831	4593	927
832	4600	922
833	4603	916
834	4606	910
835	4608	904
836	4610	897
837	4613	891
838	4616	885
839	4618	879
840	4621	873
841	4623	867
842	4626	861
843	4629	855
844	4635	850
845	4662	848
846	4677	844
847	4680	838
848	4682	832
849	4685	826
850	4687	820
851	4689	814
852	4693	808
853	4707	804
854	4709	798
855	4712	792
856	4715	786
857	4718	780
858	4735	777
859	4739	771
860	4741	765
861	4744	759
862	4746	753
863	4749	747
864	4752	741
865	4755	735
866	4766	731
867	4769	725
868	4772	719
869	4776	713
870	4779	707
